Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Bo Naylor,26,122,Maj-AL,Cleveland,28,90,84,4,12,2,0,2,7,6,0,21,0,0,0,2,0,0,0.143,0.2,0.238,0.438,666310
Josh Naylor,29,6,Maj-AL,Seattle,128,547,498,49,133,18,0,10,47,41,3,71,5,0,2,16,25,7,0.267,0.328,0.363,0.691,647304
Zach Neto,25,6,Maj-AL,Los Angeles,133,595,530,87,125,27,4,23,66,55,1,182,9,0,1,3,18,11,0.236,0.318,0.432,0.75,687263
Brandon Nimmo,33,6,Maj-AL,Texas,132,559,504,56,133,30,4,14,53,44,2,120,7,0,4,12,7,1,0.264,0.329,0.423,0.752,607043
Rikuu Nishida,25,91,Maj-AL,Chicago,12,30,29,3,7,0,0,0,2,0,0,5,0,1,0,0,0,0,0.241,0.241,0.241,0.483,807747
Lars Nootbaar,28,6,Maj-NL,"Arizona,St. Louis",69,257,221,29,51,12,1,6,27,35,2,50,0,0,1,5,2,1,0.231,0.335,0.376,0.71,663457
Connor Norby,26,6,Maj-NL,"Colorado,Miami",84,303,261,26,59,17,0,6,26,33,0,90,8,0,1,6,8,3,0.226,0.33,0.36,0.69,681393
Nasim Nu\xc3\xb1ez,25,6,Maj-NL,Washington,128,455,399,50,86,5,3,1,35,45,0,93,1,8,2,7,44,8,0.216,0.295,0.251,0.546,683083
Ryan O\'Hearn,32,37,Maj-NL,Pittsburgh,96,398,359,54,97,15,0,17,69,31,1,86,5,0,3,14,1,0,0.27,0.334,0.454,0.788,656811
Logan O\'Hoppe,26,6,Maj-AL,"Los Angeles,Texas",80,264,242,22,51,9,0,4,23,17,0,65,3,1,1,6,0,0,0.211,0.27,0.298,0.567,681351
Tyler O\'Neill,31,15,Maj-AL,Baltimore,85,260,231,31,49,8,0,10,23,27,0,72,2,0,0,5,1,0,0.212,0.3,0.377,0.677,641933
Shohei Ohtani,31,7,Maj-NL,Los Angeles,127,582,493,86,138,25,4,30,80,77,16,138,5,0,5,9,10,3,0.28,0.379,0.529,0.909,660271
Kazuma Okamoto,30,7,Maj-AL,Toronto,133,543,486,72,111,21,0,28,78,48,0,160,6,0,3,10,1,1,0.228,0.304,0.444,0.748,672960
Jared Oliva,30,145,Maj-NL,San Francisco,7,7,7,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.143,0.143,0.143,0.286,666931
Matt Olson,32,6,Maj-NL,Atlanta,138,600,535,93,137,32,0,37,80,59,5,151,3,0,3,9,4,0,0.256,0.332,0.523,0.855,621566
Jonathan Ornelas,26,19,"Maj-AL,Maj-NL","Athletics,Milwaukee",9,22,21,1,4,0,0,0,1,1,0,11,0,0,0,1,0,0,0.19,0.227,0.19,0.418,680716
Abimelec Ortiz,24,6,Maj-NL,Washington,27,92,87,12,19,3,0,5,10,5,0,22,0,0,0,1,0,0,0.218,0.261,0.425,0.686,694673
Joey Ortiz,27,6,Maj-NL,Milwaukee,114,345,305,39,77,12,3,7,38,31,0,64,0,4,5,10,9,4,0.252,0.317,0.38,0.697,687401
Alejandro Osuna,23,29,Maj-AL,Texas,75,220,192,25,49,5,0,1,24,19,0,32,8,1,0,3,5,2,0.255,0.347,0.297,0.644,696030
James Outman,29,25,Maj-AL,"Detroit,Minnesota",93,170,157,23,27,4,2,5,17,10,0,71,3,0,0,0,6,3,0.172,0.235,0.318,0.554,681546
Marcell Ozuna,35,36,Maj-NL,Pittsburgh,69,280,251,22,51,7,0,8,29,27,1,80,2,0,0,5,0,0,0.203,0.286,0.327,0.612,542303
Cristian Pache,27,6,Maj-NL,New York,11,8,8,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.125,0.125,0.125,0.25,665506
Andy Pages,25,16,Maj-NL,Los Angeles,128,550,493,72,134,25,2,21,80,45,1,107,7,0,5,11,12,7,0.272,0.338,0.458,0.797,681624
Pedro Pag\xc3\xa9s,27,10,Maj-NL,St. Louis,74,196,177,13,37,6,0,4,11,11,0,52,2,4,2,5,2,0,0.209,0.26,0.311,0.571,686780
Richie Palacios,29,6,Maj-AL,Tampa Bay,104,338,292,43,66,12,2,5,39,39,0,61,3,2,2,5,11,5,0.226,0.321,0.332,0.654,680700
Isaac Paredes,27,6,Maj-AL,Houston,131,557,476,54,122,23,1,17,73,59,0,73,17,0,5,15,0,0,0.256,0.355,0.416,0.771,670623
Vinnie Pasquantino,28,7,Maj-AL,Kansas City,91,388,337,41,83,15,2,9,41,44,3,62,3,0,4,3,5,0,0.246,0.335,0.383,0.718,686469
Graham Pauley,25,21,Maj-NL,Miami,46,115,108,9,21,9,0,1,14,5,0,27,0,1,1,4,1,1,0.194,0.228,0.306,0.534,688363
John Peck,23,6,Maj-AL,Detroit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,807726
Joc Pederson,34,6,Maj-AL,Texas,126,407,352,53,82,11,2,24,49,47,2,96,4,0,3,10,2,0,0.233,0.328,0.48,0.808,592626
