Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Austin Slater,33,81,"Maj-AL,Maj-NL","Miami,New York,Tampa Bay",28,74,65,6,15,3,0,0,3,8,0,21,0,0,1,1,4,0,0.231,0.311,0.277,0.588,596103
Cam Smith,23,6,Maj-AL,Houston,134,483,434,57,93,16,5,17,50,36,0,120,6,0,6,9,10,2,0.214,0.28,0.392,0.672,701358
Dominic Smith,31,8,Maj-NL,Atlanta,101,287,258,39,67,6,1,8,44,21,1,45,2,1,5,6,0,0,0.26,0.315,0.384,0.698,642086
Josh Smith,28,18,Maj-AL,"Texas,Toronto",59,187,164,16,36,3,1,3,11,19,1,40,1,2,1,3,4,1,0.22,0.303,0.305,0.608,669701
Pavin Smith,30,60,Maj-NL,Arizona,28,89,78,5,11,1,0,1,6,10,0,18,0,0,1,1,1,0,0.141,0.236,0.192,0.428,656976
Will Smith,31,93,Maj-NL,Los Angeles,52,201,173,23,43,5,0,6,23,23,0,34,2,0,3,5,0,0,0.249,0.338,0.382,0.72,669257
Tyler Soderstrom,24,23,Maj-AL,Athletics,109,453,396,58,97,27,3,19,56,53,4,91,3,0,1,9,2,1,0.245,0.338,0.472,0.81,691016
Nick Sogard,28,6,Maj-AL,Boston,43,185,155,24,42,11,1,3,13,25,0,34,0,4,1,2,0,0,0.271,0.37,0.413,0.783,686765
Nick Solak,31,78,Maj-NL,San Diego,4,10,7,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0.143,0.3,0.143,0.443,669256
Jorge Soler,34,36,Maj-AL,Los Angeles,86,361,316,36,64,16,1,12,49,35,0,118,6,0,4,10,0,0,0.203,0.291,0.373,0.664,624585
Sung-Mun Song,29,6,Maj-NL,San Diego,64,142,120,19,23,4,0,1,16,18,1,26,0,3,1,3,13,4,0.192,0.295,0.25,0.545,823550
Edmundo Sosa,30,7,Maj-NL,Philadelphia,70,217,199,25,47,8,2,7,40,7,0,45,5,1,3,5,3,0,0.236,0.276,0.402,0.678,624641
Lenyn Sosa,26,103,Maj-AL,"Chicago,Toronto",40,117,113,11,22,7,0,1,9,1,0,25,1,1,1,2,0,0,0.195,0.207,0.283,0.49,672820
Juan Soto,27,6,Maj-NL,New York,87,368,301,48,85,8,2,22,54,64,9,50,0,0,2,4,7,3,0.282,0.406,0.542,0.948,665742
Lucas Spence,23,35,Maj-AL,Houston,14,41,37,4,6,1,0,0,3,3,0,15,1,0,0,0,0,1,0.162,0.244,0.189,0.433,828599
George Springer,36,7,Maj-AL,Toronto,106,440,390,51,99,19,2,14,45,42,0,80,3,0,2,9,11,2,0.254,0.33,0.421,0.75,543807
Giancarlo Stanton,36,135,Maj-AL,New York,23,92,86,7,21,6,0,3,13,6,0,28,0,0,0,2,1,0,0.244,0.293,0.419,0.712,519317
Spencer Steer,28,42,Maj-NL,Cincinnati,98,384,340,54,81,14,0,16,40,35,0,86,6,0,2,10,3,0,0.238,0.319,0.421,0.739,668715
Michael Stefanic,30,7,Maj-AL,Athletics,6,8,8,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0.375,0.375,0.5,0.875,683021
Tyler Stephenson,29,6,Maj-NL,Cincinnati,109,394,347,36,87,19,0,14,49,41,1,108,2,0,4,5,0,1,0.251,0.33,0.427,0.756,663886
Chad Stevens,27,86,Maj-NL,Colorado,16,34,28,1,1,0,0,0,3,5,0,13,0,0,1,0,0,0,0.036,0.176,0.036,0.212,677060
Sal Stewart,22,6,Maj-NL,Cincinnati,138,599,530,79,141,25,0,31,105,57,5,130,4,0,8,15,12,4,0.266,0.337,0.489,0.826,701398
Trevor Story,33,6,Maj-AL,Boston,43,184,173,17,38,9,0,3,22,8,0,59,1,0,2,6,4,0,0.22,0.255,0.324,0.579,596115
Bryson Stott,28,6,Maj-NL,Philadelphia,132,518,460,60,119,27,6,10,60,51,0,89,2,3,2,11,23,0,0.259,0.334,0.409,0.743,681082
Kyle Stowers,28,6,Maj-NL,Miami,101,424,372,46,91,23,4,16,56,42,3,135,7,1,2,8,1,1,0.245,0.331,0.457,0.788,669065
Myles Straw,31,7,Maj-AL,Toronto,123,273,245,39,56,17,1,3,22,21,0,37,1,3,3,2,7,1,0.229,0.289,0.343,0.632,664702
Garrett Stubbs,33,6,Maj-NL,Philadelphia,30,56,51,10,8,0,0,0,3,2,0,11,2,0,1,0,0,0,0.157,0.214,0.157,0.371,596117
Eugenio Su\xc3\xa1rez,34,6,Maj-NL,Cincinnati,107,426,373,36,77,16,0,20,59,44,1,149,6,0,3,5,0,1,0.206,0.298,0.41,0.708,553993
Brett Sullivan,32,7,Maj-NL,Colorado,70,203,186,22,43,12,1,7,29,12,0,35,1,1,3,4,1,2,0.231,0.277,0.419,0.697,664954
Daniel Susac,25,28,Maj-NL,San Francisco,53,161,144,11,35,8,1,3,22,8,0,36,3,2,4,4,2,2,0.243,0.289,0.375,0.664,691740
Seiya Suzuki,31,6,Maj-NL,Chicago,120,533,461,84,128,28,0,24,80,65,4,132,4,0,3,9,3,0,0.278,0.37,0.495,0.864,673548
Dansby Swanson,32,21,Maj-NL,Chicago,119,458,403,78,87,16,3,18,66,48,0,106,2,1,4,5,17,1,0.216,0.3,0.404,0.704,621020
Fernando Tatis Jr.,27,6,Maj-NL,San Diego,136,600,534,77,150,29,2,17,67,54,5,111,5,1,6,13,31,13,0.281,0.349,0.438,0.787,665487
Leody Taveras,27,6,Maj-AL,Baltimore,121,431,380,53,85,15,6,8,52,40,0,106,1,9,1,8,11,4,0.224,0.299,0.358,0.656,665750
Tim Tawa,27,6,Maj-NL,Arizona,82,269,239,30,58,11,0,9,35,21,0,65,0,6,3,6,8,4,0.243,0.3,0.402,0.702,694374
Samad Taylor,27,7,Maj-NL,San Diego,27,104,89,15,30,1,1,1,11,12,0,30,0,3,0,2,6,1,0.337,0.416,0.404,0.82,669392
Tyrone Taylor,32,6,Maj-NL,"Chicago,New York",85,209,189,31,53,11,0,11,33,13,0,37,2,4,1,0,3,2,0.28,0.332,0.513,0.845,621438
Kyle Teel,24,48,Maj-AL,Chicago,19,70,63,9,12,2,0,2,14,6,0,27,1,0,0,1,0,0,0.19,0.271,0.317,0.589,691019
Rowdy Tellez,31,68,Maj-NL,Atlanta,7,11,10,2,2,0,0,1,4,1,0,3,0,0,0,0,0,0,0.2,0.273,0.5,0.773,642133
Jos\xc3\xa9 Tena,25,6,Maj-NL,Washington,105,271,242,33,55,12,2,7,22,26,0,82,3,0,0,6,4,2,0.227,0.31,0.38,0.69,677588
Bryce Teodosio,27,11,Maj-AL,Los Angeles,35,54,49,5,10,2,0,0,2,4,0,18,0,1,0,1,4,1,0.204,0.264,0.245,0.509,669326
Alek Thomas,26,8,Maj-NL,"Arizona,Los Angeles",35,120,113,13,21,10,0,2,13,4,0,27,2,1,0,5,4,0,0.186,0.227,0.327,0.554,677950
Colby Thomas,25,38,Maj-AL,Athletics,55,121,114,11,23,3,0,4,11,4,0,37,1,2,0,3,1,1,0.202,0.235,0.333,0.569,687515
Lane Thomas,30,8,"Maj-AL,Maj-NL","Atlanta,Kansas City",116,368,321,36,73,19,0,11,40,43,0,90,2,0,2,4,9,3,0.227,0.321,0.389,0.71,657041
Sterlin Thompson,25,77,Maj-NL,Colorado,26,77,69,7,16,4,0,2,10,5,0,21,3,0,0,3,0,0,0.232,0.312,0.377,0.688,694514
Michael Toglia,27,16,Maj-NL,Cincinnati,10,28,26,2,3,2,0,0,1,2,0,12,0,0,0,1,0,0,0.115,0.179,0.192,0.371,669911
Tyler Tolbert,28,7,Maj-AL,Kansas City,65,132,114,30,35,5,0,3,8,12,0,24,1,4,1,3,20,3,0.307,0.375,0.43,0.805,686475
Spencer Torkelson,26,6,Maj-AL,Detroit,135,524,455,54,100,23,0,20,63,58,0,165,6,0,4,11,0,1,0.22,0.314,0.402,0.716,679529
Luis Torrens,30,6,Maj-NL,New York,80,244,222,31,53,12,0,8,33,16,0,48,4,2,0,3,1,0,0.239,0.302,0.401,0.703,620443
Bryan Torres,28,7,Maj-NL,St. Louis,59,140,125,15,33,1,2,4,18,11,0,27,1,1,2,0,2,0,0.264,0.324,0.4,0.724,663494
Gleyber Torres,29,6,Maj-AL,Detroit,79,350,299,46,78,12,0,8,36,46,2,65,3,0,2,6,0,0,0.261,0.363,0.381,0.744,650402
Ezequiel Tovar,24,6,Maj-NL,Colorado,126,447,409,44,85,21,0,10,41,27,0,113,2,1,8,7,6,1,0.208,0.256,0.333,0.588,678662
Taylor Trammell,28,6,Maj-AL,Houston,80,228,203,26,41,6,2,7,20,20,1,70,4,1,0,2,3,3,0.202,0.286,0.355,0.641,666211
Jose Trevino,33,8,Maj-NL,Cincinnati,39,126,122,12,28,3,0,5,15,1,0,23,0,2,1,2,0,1,0.23,0.234,0.377,0.611,624431
James Triantos,23,21,Maj-NL,Chicago,7,9,8,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.125,0.222,0.125,0.347,701649
Jared Triolo,28,7,Maj-NL,Pittsburgh,101,322,288,30,71,12,0,3,26,26,0,64,5,1,0,8,10,1,0.247,0.32,0.319,0.639,669707
Chadwick Tromp,31,39,"Maj-AL,Maj-NL","Atlanta,Baltimore",21,51,49,2,8,1,0,0,4,0,0,13,0,1,1,3,0,0,0.163,0.16,0.184,0.344,644433
Mike Trout,34,6,Maj-AL,Los Angeles,119,532,432,75,104,21,0,20,50,89,11,135,8,0,2,7,11,0,0.241,0.379,0.428,0.807,545361
Tommy Troy,24,57,Maj-NL,Arizona,39,134,121,22,27,3,1,4,9,13,0,31,0,0,0,0,1,0,0.223,0.299,0.364,0.662,694371
Kyle Tucker,29,7,Maj-NL,Los Angeles,129,528,456,71,104,20,3,11,57,65,1,95,3,0,4,4,9,0,0.228,0.326,0.357,0.683,663656
Brice Turang,26,6,Maj-NL,Milwaukee,127,578,499,81,126,29,3,17,78,73,3,145,0,4,2,8,18,5,0.253,0.347,0.425,0.772,668930
Trea Turner,33,6,Maj-NL,Philadelphia,133,593,547,87,132,22,1,17,51,39,1,128,4,0,3,10,18,4,0.241,0.295,0.378,0.674,607208
Luis Ur\xc3\xadas,29,31,Maj-AL,Toronto,26,59,52,5,13,3,0,3,8,6,0,10,0,0,1,2,0,0,0.25,0.322,0.481,0.803,649966
Ram\xc3\xb3n Ur\xc3\xadas,32,7,Maj-NL,St. Louis,32,86,73,13,11,3,0,3,7,8,0,15,4,0,1,2,0,1,0.151,0.267,0.315,0.583,602104
Esmerlyn Valdez,22,7,Maj-NL,Pittsburgh,65,259,217,37,53,13,1,16,44,38,0,97,1,0,3,6,0,1,0.244,0.355,0.535,0.89,699013
Eduardo Valencia,26,6,Maj-AL,Detroit,27,79,77,13,24,7,0,6,17,1,0,24,1,0,0,3,0,0,0.312,0.329,0.636,0.965,680664
Brandon Valenzuela,25,9,Maj-AL,Toronto,80,241,214,25,48,9,0,8,21,24,0,63,1,1,1,4,1,0,0.224,0.304,0.379,0.683,678218
George Valera,25,131,Maj-AL,Cleveland,13,38,37,1,8,3,0,0,6,1,0,8,0,0,0,1,0,0,0.216,0.237,0.297,0.534,671655
Ildemaro Vargas,34,6,Maj-NL,Arizona,123,436,407,54,103,18,5,9,66,23,2,44,2,1,2,6,3,1,0.253,0.295,0.388,0.683,545121
Miguel Vargas,26,6,Maj-AL,Chicago,135,596,498,92,124,30,1,29,76,85,5,105,7,0,5,8,13,2,0.249,0.363,0.488,0.851,678246
Daulton Varsho,29,6,Maj-AL,"Houston,Toronto",124,466,426,46,97,22,2,10,36,37,2,94,2,0,1,4,10,0,0.228,0.292,0.359,0.651,662139
Randy V\xc3\xa1squez,27,49,Maj-NL,San Diego,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,681190
Andrew Vaughn,28,6,Maj-NL,Milwaukee,91,292,252,30,78,16,2,5,39,32,1,45,6,0,2,6,0,0,0.31,0.397,0.448,0.846,683734
Christian V\xc3\xa1zquez,35,6,Maj-AL,Houston,79,249,225,22,48,7,0,7,25,18,1,49,0,5,1,3,1,0,0.213,0.27,0.338,0.608,543877
Luis V\xc3\xa1zquez,26,11,Maj-AL,Baltimore,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,676679
Zac Veen,24,6,Maj-NL,Colorado,16,35,31,4,7,1,0,2,7,3,0,14,1,0,0,0,1,0,0.226,0.314,0.452,0.766,691728
Andrew Velazquez,31,37,Maj-AL,Kansas City,6,15,15,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0.067,0.067,0.067,0.133,623205
Nelson Vel\xc3\xa1zquez,27,6,"Maj-AL,Maj-NL","Houston,St. Louis",42,98,88,11,17,4,0,5,15,7,0,33,1,0,2,0,0,0,0.193,0.255,0.409,0.664,676369
Mark Vientos,26,6,Maj-NL,New York,74,258,241,26,51,9,0,12,36,12,0,62,3,0,2,12,0,0,0.212,0.256,0.398,0.654,668901
Matt Vierling,29,39,Maj-AL,Detroit,92,291,266,24,55,13,3,5,31,19,0,49,0,1,5,5,4,2,0.207,0.255,0.335,0.59,663837
Ryan Vilade,27,7,Maj-AL,Tampa Bay,79,225,201,25,52,8,1,11,37,19,1,50,1,1,3,4,3,1,0.259,0.321,0.473,0.794,668723
Jorbit Vivas,25,6,Maj-NL,Washington,104,309,262,28,63,11,1,3,25,35,0,41,4,3,4,3,2,1,0.24,0.334,0.324,0.659,678391
Anthony Volpe,25,36,Maj-AL,New York,56,194,171,20,41,9,1,1,19,22,0,45,0,0,1,0,7,4,0.24,0.325,0.322,0.646,683011
LaMonte Wade Jr.,32,7,Maj-AL,Houston,41,118,100,14,21,5,0,3,17,18,0,29,0,0,0,0,0,0,0.21,0.331,0.35,0.681,664774
Eric Wagaman,28,12,Maj-NL,New York,25,52,47,5,9,0,0,2,5,4,0,12,1,0,0,1,0,0,0.191,0.269,0.319,0.588,676572
Will Wagner,27,70,Maj-NL,San Diego,16,45,35,5,9,1,0,0,0,10,1,7,0,0,0,2,0,0,0.257,0.422,0.286,0.708,695238
Ryan Waldschmidt,23,6,Maj-NL,Arizona,71,253,225,27,61,15,1,3,22,18,0,72,4,2,3,5,7,2,0.271,0.332,0.387,0.719,814439
Christian Walker,35,6,Maj-AL,Houston,133,546,490,64,112,25,1,24,76,44,2,127,10,0,2,13,0,0,0.229,0.304,0.431,0.735,572233
Jordan Walker,24,7,Maj-NL,St. Louis,134,572,522,86,149,29,0,27,97,43,1,139,4,0,3,11,18,5,0.285,0.343,0.496,0.839,691023
Matt Wallner,28,116,Maj-AL,Minnesota,34,135,120,14,20,3,0,4,10,10,0,53,5,0,0,2,0,1,0.167,0.259,0.292,0.551,670242
Taylor Walls,29,6,Maj-AL,Tampa Bay,113,394,338,53,74,14,2,2,32,40,0,96,3,10,3,4,21,3,0.219,0.305,0.29,0.595,670764
Donovan Walton,32,7,Maj-AL,"Athletics,Los Angeles",69,195,167,30,46,12,1,4,20,20,0,31,6,2,0,7,2,2,0.275,0.373,0.431,0.804,622268
Ryan Ward,28,71,Maj-NL,Los Angeles,20,60,55,8,12,4,0,3,12,5,0,17,0,0,0,2,0,0,0.218,0.283,0.455,0.738,669899
Taylor Ward,32,6,Maj-AL,"Baltimore,Seattle",130,581,476,69,109,20,1,7,34,95,2,124,7,0,3,8,4,3,0.229,0.363,0.319,0.682,621493
Kahlil Watson,23,47,Maj-AL,Cleveland,27,91,88,6,21,6,0,1,11,3,0,32,0,0,0,2,9,1,0.239,0.264,0.341,0.605,696135
Austin Wells,26,6,Maj-AL,New York,102,321,282,28,50,7,0,10,26,33,2,89,3,1,2,10,2,0,0.177,0.269,0.309,0.577,669224
Davis Wendzel,29,89,Maj-NL,Pittsburgh,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,673995
JJ Wetherholt,23,8,Maj-NL,St. Louis,130,586,505,88,122,14,0,17,48,63,2,95,16,0,2,5,14,1,0.242,0.343,0.37,0.713,802139
Shay Whitcomb,27,6,"Maj-AL,Maj-NL","Houston,San Francisco",25,52,50,4,5,1,0,3,8,1,0,21,0,1,0,0,0,0,0.1,0.118,0.3,0.418,694376
Eli White,32,6,"Maj-AL,Maj-NL","Atlanta,Boston",87,177,164,25,38,6,1,5,20,11,0,40,1,0,1,2,5,1,0.232,0.282,0.372,0.654,642201
Tommy White,23,6,Maj-AL,Athletics,39,154,149,16,38,5,0,2,8,4,0,26,0,0,1,4,0,1,0.255,0.273,0.329,0.602,695720
Joey Wiemer,27,111,Maj-NL,Washington,32,83,70,16,20,5,1,3,12,12,0,29,1,0,0,2,1,0,0.286,0.398,0.514,0.912,686894
Alika Williams,27,7,Maj-AL,Athletics,68,168,156,19,41,14,1,2,12,6,0,40,2,3,1,3,0,1,0.263,0.297,0.404,0.701,675961
Carson Williams,23,26,Maj-AL,Tampa Bay,16,40,37,7,4,1,0,1,6,2,0,13,0,1,0,1,0,0,0.108,0.154,0.216,0.37,700246
Luke Williams,29,147,Maj-NL,Atlanta,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,663897
Ben Williamson,25,32,Maj-AL,Tampa Bay,83,270,247,31,61,10,1,3,26,20,0,51,2,1,0,6,8,1,0.247,0.309,0.332,0.641,810938
Jacob Wilson,24,21,Maj-AL,Athletics,80,337,320,37,85,16,1,7,37,12,0,39,3,1,1,7,4,0,0.266,0.298,0.388,0.685,805779
Weston Wilson,31,6,Maj-AL,"Baltimore,Seattle",54,137,121,16,24,4,0,4,11,15,0,45,1,0,0,1,5,1,0.198,0.292,0.331,0.623,642215
Will Wilson,27,130,Maj-AL,Seattle,2,6,5,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0.2,0.333,0.8,1.133,669717
Masyn Winn,24,16,Maj-NL,St. Louis,122,490,432,49,103,19,2,5,51,44,0,105,7,0,7,9,10,2,0.238,0.314,0.326,0.641,691026
Patrick Wisdom,34,7,Maj-AL,Seattle,18,49,46,3,5,1,0,1,4,3,1,20,0,0,0,0,0,0,0.109,0.163,0.196,0.359,621550
Bobby Witt Jr.,26,7,Maj-AL,Kansas City,119,527,467,77,133,28,1,16,49,55,8,91,2,0,3,6,36,7,0.285,0.361,0.452,0.812,677951
Connor Wong,30,6,Maj-AL,Boston,68,214,187,21,46,11,0,4,23,16,0,51,6,4,1,6,3,1,0.246,0.324,0.369,0.693,657136
James Wood,23,34,Maj-NL,Washington,114,535,437,100,116,26,1,30,73,90,9,153,4,0,4,5,17,2,0.265,0.393,0.535,0.928,695578
Gage Workman,26,32,"Maj-AL,Maj-NL","Detroit,San Diego",18,41,41,3,7,4,0,2,8,0,0,17,0,0,0,1,0,0,0.171,0.171,0.415,0.585,669398
Austin Wynns,35,21,"Maj-AL,Maj-NL","Athletics,Atlanta,Texas",34,89,82,4,12,0,0,1,1,5,0,24,0,2,0,0,0,0,0.146,0.195,0.183,0.378,642851
Mike Yastrzemski,35,6,Maj-NL,Atlanta,119,346,306,41,68,16,1,9,34,34,0,85,4,0,2,4,1,0,0.222,0.306,0.369,0.676,573262
Christian Yelich,34,6,Maj-NL,Milwaukee,97,419,370,55,88,22,2,9,47,41,4,110,4,1,3,7,11,1,0.238,0.318,0.381,0.699,592885
Nick Yorke,24,7,Maj-NL,Pittsburgh,36,112,102,7,21,4,0,1,12,7,0,26,2,0,1,3,1,0,0.206,0.268,0.275,0.542,694377
Masataka Yoshida,32,22,Maj-AL,Boston,87,297,263,34,72,16,1,5,28,28,1,33,3,0,3,1,2,0,0.274,0.347,0.399,0.746,807799
Cole Young,22,6,Maj-AL,Seattle,137,550,500,64,122,16,3,16,57,36,0,93,10,1,3,7,3,5,0.244,0.306,0.384,0.69,702284
Jacob Young,26,6,Maj-NL,Washington,122,418,374,51,92,19,3,10,43,30,0,70,8,4,2,6,17,3,0.246,0.314,0.393,0.707,696285
Jared Young,30,6,Maj-NL,New York,89,290,264,33,71,16,3,8,35,18,0,55,6,0,2,4,3,1,0.269,0.328,0.443,0.771,676724
