pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-31,95.6,2.81,5.27,"Crow-Armstrong, Pete",691718,690986,,ball,,,,,11.0,,R,L,L,CHC,MIL,B,,,0,2,2026,1.0,1.27,-0.1754843971611577,3.610559990789863,,,,0,1,Bot,,,,,,,-10.083470846650954,-138.85550328532125,-1.494890337107984,15.227127459023324,31.106199215610193,-15.586524220549078,3.202452428,1.616190945,,,,95.8,2292.0,6.5,824635,661388,641343,668930,666152,806198,694192,669003,686217,53.99,,,,,,,,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,126.0,0.002,0.022,,,,,-0.022,,0,0,0.539,0.539,24,24,25,24,1,0,6.0,1.0,,1,1.23,1.0,1.0,34.0,,,,,
FF,2026-08-31,93.0,2.9,5.28,"Crow-Armstrong, Pete",691718,690986,,foul,,,,,3.0,,R,L,L,CHC,MIL,S,,,0,1,2026,1.07,1.17,0.7817763663352606,3.2350156991181547,,,,0,1,Bot,,,,,,,-7.76153174516292,-135.16035177476036,-1.8762857308483591,14.858903201839905,30.267350619377275,-17.620561108711346,3.202452428,1.616190945,405.0,106.1,42.0,93.1,2447.0,6.5,824635,661388,641343,668930,666152,806198,694192,669003,686217,54.04,,,,,,,,5,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,130.0,-0.006,-0.053,78.0,7.4,,,0.053,106.1,0,0,0.545,0.545,24,24,25,24,1,0,6.0,1.0,,1,1.48,1.07,1.07,34.0,17.166756334813464,-21.267923684838884,24.81983073819144,24.499505048196717,42.860960867922
FF,2026-08-31,93.1,2.97,5.36,"Crow-Armstrong, Pete",691718,690986,,called_strike,,,,,6.0,,R,L,L,CHC,MIL,S,,,0,0,2026,1.18,0.97,0.3864876702520929,2.569741607625029,,,,0,1,Bot,,,,,,,-9.172106266256788,-135.18925287593026,-3.30675388278532,16.51273698518537,30.879381760249913,-19.78899412352203,3.202452428,1.616190945,,,,92.8,2382.0,6.3,824635,661388,641343,668930,666152,806198,694192,669003,686217,54.15,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,129.0,-0.003,-0.042,,,,,0.042,,0,0,0.548,0.548,24,24,25,24,1,0,6.0,1.0,,1,1.68,1.18,1.18,33.4,,,,,
SL,2026-08-30,90.3,-1.17,6.61,"Crow-Armstrong, Pete",691718,695505,field_out,hit_into_play,,,,,6.0,Pete Crow-Armstrong lines out to first baseman Sal Stewart.,R,L,R,CHC,CIN,X,3.0,line_drive,2,2,2026,0.04,0.21,0.6409115548781128,2.128892641905052,,,,0,5,Bot,157.9,164.73,,,,,4.361332914987617,-131.49175226378256,-5.436157863305641,-0.3891638280714053,27.130946900244155,-28.84084305662469,3.202452428,1.616190945,177.0,102.2,9.0,90.5,2649.0,6.3,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.21,0.754,0.714,0.0,1.0,0.0,0.0,4.0,43,5,Slider,3,6,3,6,6,3,3,6,Infield shade,Standard,99.0,-0.023,-0.232,86.1,7.5,,0.882,0.232,102.2,-3,-3,0.188,0.188,23,24,23,24,3,2,6.0,1.0,,1,2.58,-0.04,0.04,61.6,14.854173892967108,-17.649049489548773,35.201366046408,28.257408799691163,36.101300276708486
FF,2026-08-30,98.2,-0.95,6.65,"Crow-Armstrong, Pete",691718,695505,,foul,,,,,12.0,,R,L,R,CHC,CIN,S,,,2,1,2026,0.07,1.41,0.2324154200391548,3.342953937656381,,,,0,5,Bot,,,,,,,2.9928404801949657,-142.8936340663778,-6.598105455317815,0.2546594279072984,32.6785714858785,-11.594685337499232,3.202452428,1.616190945,109.0,83.8,11.0,98.4,2370.0,6.4,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.1,,,,,,,,43,4,4-Seam Fastball,3,6,3,6,6,3,3,6,Infield shade,Standard,190.0,-0.009,-0.078,79.0,7.5,,,0.078,88.0,-3,-3,0.197,0.197,23,24,23,24,3,2,6.0,1.0,,1,0.96,-0.07,0.07,57.4,19.29941381746092,-13.511229367635064,22.307971795063622,32.26404988877517,36.708347222575966
FF,2026-08-30,98.3,-1.26,6.61,"Crow-Armstrong, Pete",691718,695505,,called_strike,,,,,4.0,,R,L,R,CHC,CIN,S,,,2,0,2026,-0.43,1.24,-0.3421154131667184,2.2331587292766533,,,,0,5,Bot,,,,,,,3.4690116535926045,-142.9072541746494,-9.07275664981372,-6.701043027019152,31.60255580269089,-13.254324351192654,3.202452428,1.616190945,,,,98.4,2626.0,6.3,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.17,,,,,,,,43,3,4-Seam Fastball,3,6,3,6,6,3,3,6,Infield shade,Standard,181.0,-0.008,-0.075,,,,,0.075,,-3,-3,0.205,0.205,23,24,23,24,3,2,6.0,1.0,,1,1.11,0.43,-0.43,56.5,,,,,
SL,2026-08-30,89.2,-1.17,6.59,"Crow-Armstrong, Pete",691718,695505,,ball,,,,,14.0,,R,L,R,CHC,CIN,B,,,1,0,2026,0.28,-0.17,1.055689842965856,0.4661528190889945,,,,0,5,Bot,,,,,,,4.802566782121843,-129.74645364938752,-8.370015764828898,2.1597834095416215,26.954559950753083,-32.55340042844419,3.202452428,1.616190945,,,,89.3,2672.0,6.3,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.15,,,,,,,,43,2,Slider,3,6,3,6,6,3,3,6,Infield shade,Standard,118.0,0.008,0.082,,,,,-0.082,,-3,-3,0.197,0.197,23,24,23,24,3,2,6.0,1.0,,1,3.04,-0.28,0.28,60.5,,,,,
FF,2026-08-30,96.2,-1.15,6.71,"Crow-Armstrong, Pete",691718,695505,,ball,,,,,11.0,,R,L,R,CHC,CIN,B,,,0,0,2026,-0.21,1.38,-0.8752772412537889,3.294164521525796,,,,0,5,Bot,,,,,,,1.1989755884821869,-140.0412652321703,-6.439521192486991,-3.003764553229394,31.163567556604207,-12.766918162355122,3.202452428,1.616190945,,,,96.2,2450.0,6.2,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.26,,,,,,,,43,1,4-Seam Fastball,3,6,3,6,6,3,3,6,Infield shade,Standard,193.0,0.005,0.043,,,,,-0.043,,-3,-3,0.192,0.192,23,24,23,24,3,2,6.0,1.0,,1,1.08,0.21,-0.21,56.3,,,,,
FF,2026-08-30,99.5,-1.3,6.66,"Crow-Armstrong, Pete",691718,695505,field_out,hit_into_play,,,,,6.0,Pete Crow-Armstrong pops out to shortstop Elly De La Cruz.,R,L,R,CHC,CIN,X,6.0,popup,1,1,2026,-0.15,1.54,0.3822744289175505,2.6936894425959035,,699393.0,624424.0,2,2,Bot,127.63,172.0,,,,,4.8965704019652945,-144.67859478124302,-8.906700428937613,-3.2586244527665147,33.342795668859125,-8.6728795148294,3.202452428,1.616190945,74.0,77.6,75.0,99.4,2685.0,6.3,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.24,0.001,0.0,0.0,1.0,0.0,0.0,3.0,19,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,195.0,-0.029,-0.27,81.1,7.6,,0.001,0.27,88.0,2,2,0.741,0.741,23,24,23,24,2,1,6.0,1.0,,1,0.76,0.15,-0.15,54.1,12.747510368270731,-7.01120419968965,33.92202291675225,31.021614477260893,35.214021713267584
SL,2026-08-30,90.0,-1.35,6.62,"Crow-Armstrong, Pete",691718,695505,,ball,,,,,12.0,,R,L,R,CHC,CIN,B,,,0,1,2026,0.34,-0.27,1.156608645966975,3.122141341788266,,699393.0,624424.0,2,2,Bot,,,,,,,5.395023028997638,-131.1255945449161,-1.971026838597896,2.917007526857255,25.35633581804956,-35.125580722320784,3.202452428,1.616190945,,,,90.4,2920.0,6.3,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.25,,,,,,,,19,2,Slider,2,0,2,0,0,2,2,0,Infield shade,Standard,108.0,0.003,0.019,,,,,-0.019,,2,2,0.738,0.738,23,24,23,24,2,1,6.0,1.0,,1,3.06,-0.34,0.34,58.3,,,,,
SL,2026-08-30,91.4,-1.44,6.55,"Crow-Armstrong, Pete",691718,695505,,swinging_strike,,,,,14.0,,R,L,R,CHC,CIN,S,,,0,0,2026,0.19,-0.03,0.5331930582061932,1.097881744655305,,699393.0,624424.0,2,2,Bot,,,,,,,4.493102136873292,-133.01424397742196,-7.570040704923477,1.3892304664007178,26.03202846068033,-31.210508166214677,3.202452428,1.616190945,,,,91.8,2845.0,6.3,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.18,,,,,,,,19,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,110.0,-0.005,-0.034,76.9,8.6,0.312225648,,0.034,,2,2,0.743,0.743,23,24,23,24,2,1,6.0,1.0,,1,2.74,-0.19,0.19,54.2,25.15718701586733,-25.61616075747611,38.74803259912648,29.020551610576614,46.59458659170302
SI,2026-08-30,94.9,1.66,6.4,"Crow-Armstrong, Pete",691718,656271,strikeout,called_strike,,,,,2.0,Pete Crow-Armstrong called out on strikes.,R,L,L,CHC,CIN,S,2.0,,2,2,2026,1.23,0.7,-0.0309416449095667,3.1054097287493927,,,665804.0,0,7,Bot,,,,,,,-7.21626983572069,-138.12336899952027,-4.413932958581039,17.351511205927167,29.086382351321554,-22.35607201883838,3.202452428,1.616190945,,,,95.7,2082.0,6.6,824636,663886,701398,671155,695490,680574,668709,667472,699302,53.88,,0.0,0.0,1.0,0.0,0.0,,60,6,Sinker,3,7,3,7,7,3,3,7,Infield shade,Standard,154.0,-0.027,-0.215,,,,,0.215,,-4,-4,0.1,0.1,29,24,30,24,1,3,2.0,1.0,2.0,1,1.81,1.23,1.23,40.5,,,,,
FF,2026-08-30,96.8,1.7,6.45,"Crow-Armstrong, Pete",691718,656271,,foul,,,,,2.0,,R,L,L,CHC,CIN,S,,,2,2,2026,0.56,1.18,-0.0659289740084333,2.901912716658014,,,665804.0,0,7,Bot,,,,,,,-5.999437984581663,-140.82054244743503,-6.503282023621833,8.79477905926053,30.902408246126377,-15.16728823060416,3.202452428,1.616190945,135.0,82.7,79.0,97.7,2229.0,6.7,824636,663886,701398,671155,695490,680574,668709,667472,699302,53.76,,,,,,,,60,5,4-Seam Fastball,3,7,3,7,7,3,3,7,Infield shade,Standard,128.0,0.0,0.0,75.7,7.2,,,0.0,88.0,-4,-4,0.1,0.1,29,24,30,24,1,3,2.0,1.0,2.0,1,1.25,0.56,0.56,46.9,20.018477863464103,-3.4740868766522186,26.485537823254752,36.309872369668234,35.16689714687615
FF,2026-08-30,98.0,1.46,6.43,"Crow-Armstrong, Pete",691718,656271,,ball,,,,,11.0,,R,L,L,CHC,CIN,B,,,1,2,2026,0.54,1.18,-0.8856691795460946,2.7479084732727372,,,665804.0,0,7,Bot,,,,,,,-7.571346041840738,-142.37622999797145,-7.0486541944405445,9.005775050361935,31.818222980436385,-14.689142003868898,3.202452428,1.616190945,,,,98.7,2191.0,6.7,824636,663886,701398,671155,695490,680574,668709,667472,699302,53.8,,,,,,,,60,4,4-Seam Fastball,3,7,3,7,7,3,3,7,Infield shade,Standard,128.0,0.005,0.042,,,,,-0.042,,-4,-4,0.095,0.095,29,24,30,24,1,3,2.0,1.0,2.0,1,1.2,0.54,0.54,45.9,,,,,
SI,2026-08-30,94.7,1.69,6.37,"Crow-Armstrong, Pete",691718,656271,,called_strike,,,,,5.0,,R,L,L,CHC,CIN,S,,,1,1,2026,1.18,0.72,-0.1699177087975574,2.3262439765202565,,,665804.0,0,7,Bot,,,,,,,-7.523358025131172,-137.64030534150842,-6.311317278874424,16.6028695132234,29.46282510859955,-21.858975917480524,3.202452428,1.616190945,,,,95.5,2140.0,6.7,824636,663886,701398,671155,695490,680574,668709,667472,699302,53.78,,,,,,,,60,3,Sinker,3,7,3,7,7,3,3,7,Standard,Standard,148.0,-0.008,-0.054,,,,,0.054,,-4,-4,0.103,0.103,29,24,30,24,1,3,2.0,1.0,2.0,1,1.82,1.18,1.18,44.2,,,,,
SI,2026-08-30,95.2,1.75,6.24,"Crow-Armstrong, Pete",691718,656271,,ball,,,,,13.0,,R,L,L,CHC,CIN,B,,,0,1,2026,1.15,0.93,-0.4809638610426328,1.4374308181571651,,,665804.0,0,7,Bot,,,,,,,-8.452847235065502,-138.26234647350935,-8.890892938137487,16.579316398539586,29.56883454264863,-18.45084324849289,3.202452428,1.616190945,,,,96.1,2185.0,6.8,824636,663886,701398,671155,695490,680574,668709,667472,699302,53.69,,,,,,,,60,2,Sinker,3,7,3,7,7,3,3,7,Standard,Standard,137.0,0.003,0.024,,,,,-0.024,,-4,-4,0.1,0.1,29,24,30,24,1,3,2.0,1.0,2.0,1,1.59,1.15,1.15,36.0,,,,,
FF,2026-08-30,95.2,-1.38,5.59,"Crow-Armstrong, Pete",691718,641941,home_run,hit_into_play,,,,,5.0,Pete Crow-Armstrong homers (38) on a fly ball to right center field.,R,L,R,CHC,CIN,X,,fly_ball,1,0,2026,-0.74,1.39,-0.2350346907159831,2.5622654801164395,,,,2,9,Bot,177.3,31.76,,,,,4.672089817727004,-138.6144388442652,-5.346267772948812,-10.51015465772486,29.69094248452236,-13.217130078255856,3.202452428,1.616190945,431.0,105.4,33.0,96.2,2423.0,6.7,824636,663886,701398,671155,695490,680574,670770,667472,668709,53.77,1.0,2.0,2.0,1.0,0.0,3.0,6.0,77,2,4-Seam Fastball,4,7,4,7,7,5,5,7,Standard,Standard,213.0,0.009,2.554,80.9,7.5,,4.0,-2.554,105.4,-3,-3,0.006,0.006,35,24,35,24,1,4,2.0,1.0,2.0,1,1.11,0.74,-0.74,38.6,12.095777025884608,-5.839477325628631,30.19509492890188,36.27695070027576,39.365791802345214
FF,2026-08-30,94.5,1.61,6.48,"Crow-Armstrong, Pete",691718,656271,,foul_bunt,,,,,3.0,,R,L,L,CHC,CIN,S,,,0,0,2026,0.33,1.03,0.364289502917218,3.1072772864164464,,,665804.0,0,7,Bot,,,,,,,-3.984812383634923,-137.67049813765038,-5.296777521704092,5.046125667598777,28.38322170836575,-18.15628608263024,3.202452428,1.616190945,,,,95.4,2126.0,6.6,824636,663886,701398,671155,695490,680574,668709,667472,699302,53.91,,,,,,,,60,1,4-Seam Fastball,3,7,3,7,7,3,3,7,Infield shade,Standard,144.0,-0.005,-0.04,4.5,1.2,,,0.04,88.0,-4,-4,0.105,0.105,29,24,30,24,1,3,2.0,1.0,2.0,1,1.51,0.33,0.33,43.5,-0.0094106366240143,-158.36078106187483,38.56176433309949,31.926909247268817,14.95300569017752
FF,2026-08-30,95.6,-1.52,5.52,"Crow-Armstrong, Pete",691718,641941,,ball,,,,,11.0,,R,L,R,CHC,CIN,B,,,0,0,2026,-0.55,1.38,-2.071284495200953,3.296528234400353,,,,2,9,Bot,,,,,,,-0.1520628003643421,-139.32080701794803,-3.2629862700024432,-7.170786173210426,31.495441015510146,-13.671873543114833,3.202452428,1.616190945,,,,96.1,2444.0,6.5,824636,663886,701398,671155,695490,680574,670770,667472,668709,54.0,,,,,,,,77,1,4-Seam Fastball,4,7,4,7,7,4,4,7,Standard,Standard,213.0,0.001,0.041,,,,,-0.041,,-3,-3,0.005,0.005,35,24,35,24,1,4,2.0,1.0,2.0,1,1.11,0.55,-0.55,36.3,,,,,
FF,2026-08-30,98.9,-1.28,6.63,"Crow-Armstrong, Pete",691718,695505,home_run,hit_into_play,,,,,5.0,Pete Crow-Armstrong homers (37) on a fly ball to right center field.,R,L,R,CHC,CIN,X,,fly_ball,3,2,2026,-0.25,1.63,0.2706749231521015,2.39511250435193,,,,0,1,Bot,206.27,50.0,,,,,4.7596008330310955,-143.64089915469876,-9.665418886645949,-4.6390441166859695,34.68953580172859,-7.525100133734974,3.202452428,1.616190945,417.0,108.0,35.0,98.5,2775.0,6.3,824636,663886,701398,680574,695490,682829,668709,667472,699302,54.25,0.863,1.759,2.0,1.0,0.0,3.0,6.0,5,6,4-Seam Fastball,0,0,0,0,0,1,1,0,Infield shade,Standard,202.0,0.092,1.028,81.4,7.6,,3.425,-1.028,108.0,0,0,0.553,0.553,23,24,23,24,1,0,6.0,1.0,,1,0.72,0.25,-0.25,55.4,11.621348574799931,-16.156923404429275,34.501566594620876,31.710087337826643,35.9148649924536
