pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,is_hit,is_home_run,is_walk,is_strikeout,is_stolen_base,at_bat,home_away
FC,2026-03-29,90.3,-2.24,5.22,"Crow-Armstrong, Pete",691718,663623,field_out,hit_into_play,,,,,3.0,Pete Crow-Armstrong flies out to right fielder Joey Wiemer.,R,L,R,CHC,WSH,X,9.0,fly_ball,1,0,2026,0.23,0.77,0.604327768599576,2.9636103161075793,,,,0,4,Bot,173.58,93.3,,,,,6.606232092715411,-131.39007767414154,-1.1608225705413269,1.2800698315074384,27.3228131452394,-23.23131470103308,3.202452428,1.616190945,287.0,99.5,52.0,91.9,2528.0,7.2,824700,660688,665953,683083,691781,682928,695734,696285,686894,53.28,0.02,0.031,0.0,1.0,0.0,0.0,3.0,30,2,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,188.0,-0.035,-0.303,82.0,7.0,,0.047,0.303,99.5,-1,-1,0.433,0.433,29,24,29,24,2,1,,1.0,6.0,1,2.02,-0.23,0.23,27.2,20.003410639491193,-14.117879964581473,28.385051927246504,28.663864395105367,41.41522233216491,0,0,0,0,0,1,home
CH,2026-03-29,87.4,-2.23,5.5,"Crow-Armstrong, Pete",691718,663623,field_out,hit_into_play,,,,,7.0,Pete Crow-Armstrong grounds out to first baseman Andrés Chaparro.,R,L,R,CHC,WSH,X,3.0,ground_ball,2,2,2026,-1.31,0.23,-0.5147164545140122,2.0044696429680915,,,608324.0,2,1,Bot,150.06,168.71,,,,,6.933013822749041,-127.03565250295044,-2.5344882002743043,-15.585249663395771,26.65268706401299,-29.33699668584621,3.202452428,1.616190945,6.0,91.6,-20.0,88.7,2345.0,7.2,824700,660688,665953,683083,691781,682928,695734,696285,686894,53.26,0.164,0.148,0.0,1.0,0.0,0.0,2.0,10,6,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,237.0,-0.017,-0.244,78.5,7.3,,0.175,0.244,91.6,-3,-3,0.239,0.239,29,24,29,24,1,0,,1.0,6.0,1,2.76,1.31,-1.31,26.0,13.475625526501318,2.0002750519565,35.365058020483154,41.078966828956126,36.60433712214254,0,0,0,0,0,1,home
ST,2026-03-29,80.9,2.45,4.24,"Crow-Armstrong, Pete",691718,676571,field_out,hit_into_play,,,,,8.0,Pete Crow-Armstrong flies out to center fielder Jacob Young.,R,L,L,CHC,WSH,X,8.0,fly_ball,2,2,2026,-0.24,0.42,-0.2392470028164163,2.0990531651413713,,,664023.0,0,6,Bot,135.9,41.34,,,,,-5.455501960278589,-117.58898893108312,1.437540358630974,-0.9426086510584564,27.707083902185737,-29.00766449129383,3.202452428,1.616190945,390.0,97.9,31.0,80.4,2272.0,6.6,824700,660688,665953,683083,691781,682928,695734,696285,686894,53.93,0.3,0.542,0.0,1.0,0.0,0.0,5.0,49,6,Sweeper,2,4,2,4,4,2,2,4,Infield shade,Standard,211.0,-0.046,-0.219,73.3,7.1,,1.043,0.219,97.9,-2,-2,0.312,0.312,29,24,30,24,1,2,3.0,1.0,2.0,1,3.15,-0.24,-0.24,14.9,10.189865084009863,0.3029830473652021,36.25202978108315,35.4105369502802,37.52121387215724,0,0,0,0,0,1,home
SV,2026-03-29,86.3,1.39,5.58,"Crow-Armstrong, Pete",691718,672335,field_out,hit_into_play,,,,,13.0,Pete Crow-Armstrong flies out to left fielder Daylen Lile.,R,L,L,CHC,WSH,X,7.0,fly_ball,0,1,2026,-0.91,-0.33,-0.9928011889297093,2.011988910955722,,,,2,8,Bot,89.74,109.96,,,,,-3.674557864141554,-125.60980350676564,-1.2643603115649942,-8.663795011738259,29.293605559209396,-35.60231119001781,3.202452428,1.616190945,240.0,76.4,45.0,85.0,2587.0,5.8,824700,660688,671277,683083,691781,682928,695734,696285,686894,54.73,0.126,0.126,0.0,1.0,0.0,0.0,3.0,67,2,Slurve,3,6,3,6,6,3,3,6,Standard,Standard,315.0,-0.008,-0.216,70.3,7.4,,0.161,0.216,88.0,-3,-3,0.042,0.042,30,24,30,24,1,3,3.0,1.0,3.0,1,3.43,-0.91,-0.91,35.9,15.690991835136288,-0.2532116748216362,32.66365357233507,45.58605563173296,38.809474327643386,0,0,0,0,0,1,home
FC,2026-03-30,90.1,-3.52,5.92,"Crow-Armstrong, Pete",691718,696270,walk,ball,,,,,11.0,Pete Crow-Armstrong walks. Michael Busch to 3rd. Ian Happ to 2nd.,R,L,R,CHC,LAA,B,,,3,2,2026,0.13,0.86,-1.8100163995312424,3.646832220634737,,683737.0,664023.0,1,1,Bot,,,,,,,3.914435794046723,-131.30842399303606,-1.459642033901789,0.776601509135867,23.79064503222565,-22.045058989406375,3.202452428,1.616190945,,,,90.7,2559.0,6.3,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.23,,0.698334,0.7,1.0,0.0,0.0,,7,11,Cutter,0,0,0,0,0,0,0,0,Standard,Strategic,190.0,0.049,0.296,,,,,-0.296,,0,0,0.596,0.596,23,24,24,24,1,0,,1.0,46.0,1,1.91,-0.13,0.13,18.1,,,,,,0,0,1,0,0,0,home
FS,2026-03-30,84.0,-3.06,5.76,"Crow-Armstrong, Pete",691718,696270,single,hit_into_play,,,,,7.0,"Pete Crow-Armstrong singles on a ground ball to shortstop Zach Neto, deflected by second baseman Oswald Peraza.",R,L,R,CHC,LAA,X,4.0,ground_ball,2,2,2026,-0.72,0.33,-0.2963277511259772,1.5076747069516454,,,,1,3,Bot,127.18,129.21,,,,,7.72004398656662,-121.96503678158588,-3.7752357775472376,-8.800689271504993,25.922038669782072,-28.34434854195073,3.202452428,1.616190945,30.0,101.4,-1.0,83.3,1922.0,6.1,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.36,0.406,0.373,0.9,1.0,1.0,0.0,4.0,23,7,Split-Finger,4,0,4,0,0,4,4,0,Infield shade,Strategic,249.0,0.01,0.445,74.0,7.5,,0.44,-0.445,101.4,4,4,0.885,0.885,23,24,24,24,2,1,,1.0,46.0,1,2.94,0.72,-0.72,14.8,8.07553131218526,6.4148181688846275,43.49524588027181,38.96680358458911,32.025446011669345,1,0,0,0,0,1,home
FF,2026-03-30,94.4,-1.78,6.07,"Crow-Armstrong, Pete",691718,641312,field_out,hit_into_play,,,,,12.0,Pete Crow-Armstrong pops out to shortstop Zach Neto.,R,L,R,CHC,LAA,X,6.0,popup,1,0,2026,-0.17,1.23,0.4177167753492822,3.3725347124724125,,,,2,6,Bot,109.94,158.62,,,,,6.116535137725791,-137.34911746764575,-3.966544395828252,-3.5604594112302506,30.206570519628627,-15.95606577901671,3.202452428,1.616190945,109.0,87.8,74.0,95.5,2552.0,6.9,824702,681351,694384,672724,660162,687263,666139,545361,666176,53.6,0.009,0.011,0.0,1.0,0.0,0.0,3.0,50,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,187.0,-0.001,-0.301,80.2,6.6,,0.012,0.301,88.0,6,6,0.984,0.984,31,24,32,24,1,3,,1.0,6.0,1,1.33,0.17,-0.17,45.4,23.7905530216754,-4.171830962023571,24.42790248127299,29.313176990290437,37.31802459765426,0,0,0,0,0,1,home
SI,2026-03-30,92.8,2.6,5.48,"Crow-Armstrong, Pete",691718,664192,strikeout,called_strike,,,,,6.0,Pete Crow-Armstrong called out on strikes.,R,L,L,CHC,LAA,S,2.0,,2,2,2026,1.68,0.7,0.3951971215469678,2.1053137739745837,683737.0,608324.0,,1,4,Bot,,,,,,,-9.308790325410689,-134.77006746457644,-4.09520057951132,22.60794237167895,32.513759007027275,-22.92264685463528,3.202452428,1.616190945,,,,92.2,2265.0,6.3,824702,681351,694384,672724,660162,687263,666139,545361,666176,54.21,,0.0,0.0,1.0,0.0,0.0,,35,5,Sinker,6,0,6,0,0,6,6,0,Strategic,Standard,134.0,-0.008,-0.381,,,,,0.381,,6,6,0.977,0.977,33,24,33,24,1,2,2.0,1.0,5.0,1,1.98,1.68,1.68,37.7,,,,,,0,0,0,1,0,1,home
FF,2026-03-31,92.0,2.01,6.07,"Crow-Armstrong, Pete",691718,519141,strikeout,foul_bunt,,,,,11.0,Pete Crow-Armstrong strikes out on a foul bunt.,R,L,L,CHC,LAA,S,2.0,,0,2,2026,0.31,1.76,-0.7989659681791337,3.435420537366743,,,,0,9,Bot,,,,,,,-7.618549074483957,-133.67941943894905,-4.4686722331598085,5.403269460602605,29.29311173129026,-10.278377172850911,3.202452428,1.616190945,,,,90.8,2701.0,5.7,824699,681351,694384,624428,672724,687263,669326,545361,666176,54.84,,0.0,0.0,1.0,0.0,0.0,,70,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,153.0,-0.029,0.237,10.8,1.7,,,-0.237,,-2,-2,0.076,0.076,37,24,38,24,1,3,2.0,1.0,3.0,1,0.94,0.31,0.31,36.3,-82.35361693326952,-179.21575376707946,13.572026952169756,47.42608183380452,19.510952285687353,0,0,0,1,0,1,home
KC,2026-03-31,86.1,-1.92,5.92,"Crow-Armstrong, Pete",691718,667755,strikeout,swinging_strike,,,,,14.0,Pete Crow-Armstrong strikes out swinging.,R,L,R,CHC,LAA,S,2.0,,0,2,2026,1.36,-0.7,0.6115078869102666,0.9289462864066268,,,664023.0,2,1,Bot,,,,,,,3.1258195947115484,-125.2567258192031,-3.796358292406742,13.392111365822236,30.060963913297677,-38.798286050682975,3.202452428,1.616190945,,,,86.1,2351.0,6.7,824699,681351,694384,672724,600869,687263,666139,545361,666176,53.75,,0.0,0.0,1.0,0.0,0.0,,8,3,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,26.0,-0.013,-0.175,32.6,6.5,4.920577404,,0.175,,0,0,0.513,0.513,27,24,28,24,1,0,5.0,1.0,6.0,1,3.83,-1.36,1.36,38.9,-3.954320882123364,17.295416865931024,38.28524228587141,29.973432400525297,23.445926962950335,0,0,0,1,0,1,home
